Date,Team,Nombre,Acquired,Relinquished,Notes,ID
03-10-10,Bulls,Carlos Boozer,,Carlos Boozer,fractured bone in right pinky finger (out indefinitely),2430
06-10-10,Pistons,Jonas Jerebko,,Jonas Jerebko,torn right Achilles tendon (out indefinitely),201973
06-10-10,Pistons,Terrico White,,Terrico White,broken fifth metatarsal in right foot (out indefinitely),202358
08-10-10,Blazers,Jeff Ayres,,Jeff Ayres,torn ACL in right knee (out indefinitely),201965
08-10-10,Nets,Troy Murphy,,Troy Murphy,strained lower back (out indefinitely),2211
08-10-10,Pistons,Jonas Jerebko,,Jonas Jerebko,surgery to repair torn right Achilles tendon,201973
08-10-10,Pistons,Terrico White,,Terrico White,surgery on right foot to repair broken fifth metatarsal,202358
09-10-10,Nuggets,Al Harrington,,Al Harrington,partially torn plantar fascia in left foot (out indefinitely),1733
12-10-10,Bucks,Darington Hobson,,Darington Hobson,surgery on left hip (out for season),202359
12-10-10,Kings,Samuel Dalembert,,Samuel Dalembert,strained left groin (out indefinitely),2223
17-10-10,Bobcats,Dominic McGuire,,Dominic McGuire,stress fracture in left shin (out indefinitely),201187
18-10-10,Warriors,Lou Amundson,,Lou Amundson,surgery to repair fractured right index finger (out indefinitely),200811
19-10-10,Suns,Josh Childress,,Josh Childress,fractured right index finger (out indefinitely),2735
22-10-10,Heat,Mike Miller,,Mike Miller,surgery on right hand to repair a broken thumb and ligament damage (out indefinitely),2034
25-10-10,Thunder,Nick Collison,,Nick Collison,left knee injury (out indefinitely),2555
25-10-10,Timberwolves,Martell Webster,,Martell Webster,surgery on back (out indefinitely),101110
26-10-10,Blazers,Elliot Williams,,Elliot Williams,placed on IL,202343
26-10-10,Blazers,Greg Oden,,Greg Oden,placed on IL with left knee injury (out for season),201141
26-10-10,Blazers,Joel Przybilla,,Joel Przybilla,placed on IL placed on IL recovering from surgery on right knee to repair ruptured patella tendon,2038
26-10-10,Celtics,Avery Bradley,,Avery Bradley,placed on IL recovering from surgery on left ankle,202340
26-10-10,Celtics,Kendrick Perkins,,Kendrick Perkins,placed on IL recovering from surgery on right knee to repair torn ACL,2570
26-10-10,Celtics,Luke Harangody,,Luke Harangody,placed on IL,202376
26-10-10,Heat,Dexter Pittman,,Dexter Pittman,placed on IL,202354
26-10-10,Heat,Jerry Stackhouse,,Jerry Stackhouse,placed on IL,711
26-10-10,Heat,Mario Chalmers,,Mario Chalmers,sprained ankle (out indefinitely),201596
26-10-10,Heat,Mike Miller,,Mike Miller,placed on IL recovering from surgery on right hand to repair a broken thumb and ligament damage,2034
26-10-10,Lakers,Andrew Bynum,,Andrew Bynum,placed on IL recovering from surgery on right knee to repair torn ligaments,101115
26-10-10,Lakers,Luke Walton,,Luke Walton,placed on IL with strained right hamstring,2575
26-10-10,Rockets,Jermaine Taylor,,Jermaine Taylor,placed on IL,201966
26-10-10,Rockets,Kyle Lowry,,Kyle Lowry,placed on IL with back spasms,200768
26-10-10,Rockets,Patrick Patterson,,Patrick Patterson,placed on IL,202335
26-10-10,Suns,Gani Lawal,,Gani Lawal,placed on IL,202371
26-10-10,Suns,Matt Janning,,Matt Janning,placed on IL,NoEncontrado
27-10-10,76ers,Craig Brackins,,Craig Brackins,placed on IL,202342
27-10-10,76ers,Jodie Meeks,,Jodie Meeks,placed on IL,201975
27-10-10,Bobcats,Dominic McGuire,,Dominic McGuire,placed on IL with stress fracture in left shin,201187
27-10-10,Bobcats,Eduardo Najera,,Eduardo Najera,placed on IL with sports hernia,2059
27-10-10,Bobcats,Kwame Brown,,Kwame Brown,placed on IL with sprained left ankle,2198
27-10-10,Bucks,Chris Douglas-Roberts,,Chris Douglas-Roberts,placed on IL with right eye injury,201604
27-10-10,Bucks,Jon Brockman,,Jon Brockman,sprained left ankle (DNP),201972
27-10-10,Bucks,Luc Mbah a Moute,,Luc Mbah a Moute,sprained right ankle (DNP),201601
27-10-10,Bucks,Michael Redd,,Michael Redd,placed on IL recovering from surgery on left knee to repair torn ACL,2072
27-10-10,Bulls,Carlos Boozer,,Carlos Boozer,placed on IL with fractured bone in right pinky finger,2430
27-10-10,Cavaliers,Christian Eyenga,,Christian Eyenga,placed on IL,201963
27-10-10,Cavaliers,Mo Williams,,Mo Williams,placed on IL with groin injury,2590
27-10-10,Cavaliers,Samardo Samuels,,Samardo Samuels,placed on IL,202396
27-10-10,Clippers,Craig Smith,,Craig Smith,placed on IL with back injury,200783
27-10-10,Clippers,Willie Warren,,Willie Warren,placed on IL,202378
27-10-10,Grizzlies,Greivis Vasquez,,Greivis Vasquez,placed on IL recovering from surgery on right ankle to remove bone spur,202349
27-10-10,Grizzlies,Marc Gasol,,Marc Gasol,placed on IL with sprained right ankle / left ankle,201188
27-10-10,Hawks,Etan Thomas,,Etan Thomas,placed on IL,2041
27-10-10,Hawks,Pape Sy,,Pape Sy,placed on IL with strained lower back,202377
27-10-10,Heat,Jamaal Magloire,,Jamaal Magloire,placed on IL,2048
27-10-10,Heat,Jerry Stackhouse,Jerry Stackhouse,,activated from IL,711
27-10-10,Hornets,Aaron Gray,,Aaron Gray,placed on IL,201189
27-10-10,Hornets,Joe Alexander,,Joe Alexander,placed on IL,201570
27-10-10,Hornets,Quincy Pondexter,,Quincy Pondexter,placed on IL,202347
27-10-10,Jazz,Mehmet Okur,,Mehmet Okur,placed on IL recovering from surgery to repair torn left Achilles tendon,2246
27-10-10,Kings,Antoine Wright,,Antoine Wright,placed on IL,101120
27-10-10,Kings,Samuel Dalembert,,Samuel Dalembert,placed on IL with strained left abductor,2223
27-10-10,Knicks,Anthony Randolph,,Anthony Randolph,placed on IL with sprained left ankle,201576
27-10-10,Knicks,Eddy Curry,,Eddy Curry,placed on IL with strained right hamstring,2201
27-10-10,Knicks,Kelenna Azubuike,,Kelenna Azubuike,placed on IL recovering from arthroscopic surgery on right knee,101235
27-10-10,Mavericks,Alex Ajinca,,Alex Ajinca,placed on IL,201582
27-10-10,Mavericks,Rodrigue Beaubois,,Rodrigue Beaubois,placed on IL with fractured left foot,201958
27-10-10,Mavericks,Steve Novak,,Steve Novak,placed on IL,200779
27-10-10,Nets,Ben Uzoh,,Ben Uzoh,placed on IL,202386
27-10-10,Nets,Quinton Ross,,Quinton Ross,placed on IL,2624
27-10-10,Nets,Troy Murphy,,Troy Murphy,placed on IL with strained lower back,2211
27-10-10,Nuggets,Chris Andersen,,Chris Andersen,placed on IL recovering from surgery on right knee to repair partially torn patella tendon,2365
27-10-10,Nuggets,Kenyon Martin,,Kenyon Martin,placed on IL recovering from surgery on left knee,2030
27-10-10,Pacers,A.J. Price,,A.J. Price,placed on IL,201985
27-10-10,Pacers,Dahntay Jones,,Dahntay Jones,placed on IL,2563
27-10-10,Pacers,Lance Stephenson,,Lance Stephenson,placed on IL,202362
27-10-10,Pistons,Chris Wilcox,,Chris Wilcox,placed on IL with sore left hamstring,2404
27-10-10,Pistons,Jonas Jerebko,,Jonas Jerebko,placed on IL recovering from surgery to repair torn right Achilles tendon (out for season),201973
27-10-10,Pistons,Terrico White,,Terrico White,placed on IL recovering from surgery on right foot to repair broken fifth metatarsal (out for season),202358
27-10-10,Raptors,Ed Davis,,Ed Davis ,placed on IL recovering from arthroscopic surgery on right kene to repair torn meniscus,202334
27-10-10,Raptors,Marcus Banks,,Marcus Banks,placed on IL,2556
27-10-10,Raptors,Solomon Alabi,,Solomon Alabi,placed on IL,202374
27-10-10,Rockets,Yao Ming,,Yao Ming,placed on IL,2397
27-10-10,Rockets,Jermaine Taylor,Jermaine Taylor,,activated from IL,201966
27-10-10,Spurs,Alonzo Gee,,Alonzo Gee,placed on IL,202087
27-10-10,Spurs,Tiago Splitter,,Tiago Splitter,placed on IL with strained right plantaris muscle / calf injury (CBC),201168
27-10-10,Thunder,B.J. Mullens,,B.J. Mullens,placed on IL,201957
27-10-10,Thunder,Morris Peterson,,Morris Peterson,placed on IL,2050
27-10-10,Thunder,Nick Collison,,Nick Collison,placed on IL with stress reaction in lower left leg,2555
